ID,X(m),Y(m)
246,347016.54,3039003.21
247,347939.84,3038587.17
248,341530.21,3049031.14
249,344630.69,3042266.68
250,345090.19,3040801.67
251,340755.17,3048408.16
252,345448.25,3045371.69
253,344213.24,3048736.45
254,348863.47,3038161.04
255,346499.64,3049005.68
256,346086.95,3039396.95
257,345745.72,3039860.93
258,345803.51,3047423.12
259,345855.09,3038868.94
260,346828.25,3046026.57
261,352368.45,3046144.03
262,349597.74,3047770.71
263,342657.90,3040407.61
264,343494.83,3044653.90
265,343727.17,3045182.52
266,345912.76,3046428.84
267,344102.66,3051427.63
268,352987.71,3045358.84
269,346035.91,3047952.03
270,353602.82,3044580.66
271,342141.60,3040635.17
272,354223.88,3043757.91
273,346022.11,3045434.83
274,343836.10,3044188.53
275,347060.62,3046551.00
276,346145.01,3046957.41
277,352451.41,3045572.68
278,346254.37,3045963.41
279,346840.70,3048540.66
280,345557.65,3044377.73
281,346609.70,3048014.95
282,353066.53,3044794.49
283,347415.75,3048568.92
284,353683.44,3043978.75
285,346951.28,3047545.04
286,346718.99,3047016.41
287,346363.73,3044969.41
288,345325.45,3043849.26
289,346240.94,3043446.91
290,346131.49,3044440.84
291,346473.13,3043975.41
292,347046.97,3044038.58
293,347388.62,3043573.14
294,347156.41,3043044.54
295,347498.04,3042579.11
296,347607.38,3041585.06
297,346909.55,3039998.23
298,348181.32,3041648.28
299,348071.92,3042642.25
300,347483.76,3040061.78
301,349219.67,3042768.61
302,348413.57,3042176.85
303,349096.93,3041245.95
304,348987.47,3042240.01
305,349329.15,3041774.61
306,350012.67,3040843.75
307,349903.13,3041837.82
308,351051.71,3041964.40
309,350244.94,3041372.43
310,350819.17,3041435.74
311,351042.72,3039447.55
312,347853.97,3047112.12
313,347851.77,3044631.51
314,347621.14,3046608.51
315,351161.08,3040970.71
316,351274.55,3039976.86
317,349108.83,3043763.55
318,348877.73,3043234.22
319,347962.21,3043636.48
320,347279.03,3044567.35
321,347169.69,3045561.34
322,347954.45,3046150.84
323,348848.75,3045780.21
324,348303.88,3043171.02
325,348499.51,3046234.77
326,346937.42,3045032.75
327,348644.16,3045231.85
328,352538.68,3041629.94
329,351734.93,3041034.40
330,351848.95,3040042.32
331,353124.69,3039196.41
332,352876.98,3041166.39
333,352077.56,3040571.18
334,345928.26,3048941.32
335,343833.74,3041688.68
336,343109.04,3040765.73
337,345594.60,3049391.54
338,340205.74,3043585.21
339,344180.48,3041209.18
340,352647.82,3040636.76
341,352772.00,3039652.23
342,341357.57,3043412.61
343,340299.87,3042993.80
344,342262.02,3043016.62
345,343155.57,3042628.11
346,347285.13,3049581.17
347,347416.13,3050100.60
348,344296.99,3039259.20
349,342807.46,3043080.90
350,352992.37,3040179.74
351,348136.04,3051127.73
352,341663.81,3046490.28
353,346244.75,3035910.83
354,349193.24,3046860.32
