ID,X(m),Y(m)
246,347985.37,3035986.95
247,352807.09,3043477.12
248,350517.16,3046535.16
249,342818.01,3049804.66
250,354711.93,3040643.17
251,339205.18,3046954.82
252,345718.80,3052059.38
253,340889.05,3044383.40
254,343591.05,3050420.34
255,341506.02,3046921.60
256,342808.28,3041759.35
257,348206.52,3035474.79
258,340620.88,3046066.56
259,347463.30,3050621.41
260,342880.18,3048918.51
261,348683.47,3048968.90
262,341149.43,3042415.65
263,342090.75,3048301.37
264,343971.25,3040208.05
265,346053.67,3036356.48
266,346783.16,3051635.95
267,341335.32,3047662.78
